cenario,rsu,teste,metrica,Media,DP,IC95_low,IC95_high,Mediana,n_runs
1,com,1,tempoMedioViagem_real,272.541,2.12762,270.134,274.949,273.472,3
1,com,1,tempoViagem_P50_real,259,3,255.605,262.395,259,3
1,com,1,tempoViagem_P90_real,454,24.6051,426.157,481.843,452.1,3
1,com,1,tempoViagem_P95_real,504.15,24.2983,476.654,531.646,513.85,3
1,com,1,co2Medio_real_g,556880,4273.54,552044,561716,558442,3
1,com,1,combustivelMedio_real_ml,180534,1385.45,178966,182101,181040,3
1,com,1,tempoMedioViagem,225.52,2.84083,222.305,228.735,224.5,3
1,com,1,tempoViagem_P50,218.333,1.1547,217.027,219.64,219,3
1,com,1,tempoViagem_P90,420,12.53,405.821,434.179,421,3
1,com,1,tempoViagem_P95,504,19.1572,482.322,525.678,513,3
1,com,1,co2Medio_g,149.263,0.675747,148.499,150.028,149.05,3
1,com,1,combustivelMedio_ml,74.63,0.338674,74.2468,75.0132,74.52,3
1,com,1,comprimentoMaxFila,43,1.73205,41.04,44.96,42,3
1,com,1,comprimentoMaxFila_m,215,8.66025,205.2,224.8,210,3
1,com,1,duracaoFila_s,1500,0,1500,1500,1500,3
1,com,1,throughput_vps,6.06133,0.130216,5.91398,6.20869,6.134,3
1,com,1,throughput_total,1366.67,13.0512,1351.9,1381.44,1371,3
1,com,1,velMediaGargalo_kmh,28.12,0.481352,27.5753,28.6647,28,3
1,com,1,suppressionRatio,0.690467,0.0249953,0.662182,0.718751,0.6945,3
1,com,1,totalDenmsReceived,24364.7,390.48,23922.8,24806.5,24237,3
1,com,1,totalCamsReceived,42244.3,455.825,41728.5,42760.1,42505,3
1,com,1,totalV2xMessages,66609,680.379,65839.1,67378.9,66559,3
1,com,1,totalAlertsTriggered,831.333,10.2632,819.719,842.947,834,3
1,com,2,tempoMedioViagem_real,279.299,1.88955,277.161,281.438,278.853,3
1,com,2,tempoViagem_P50_real,264.667,2.3094,262.053,267.28,266,3
1,com,2,tempoViagem_P90_real,456.1,17.0713,436.782,475.418,451.5,3
1,com,2,tempoViagem_P95_real,522.95,5.49113,516.736,529.164,521,3
1,com,2,co2Medio_real_g,562953,3348.72,559164,566743,561739,3
1,com,2,combustivelMedio_real_ml,182503,1085.63,181274,183731,182109,3
1,com,2,tempoMedioViagem,230.01,0.989747,228.89,231.13,230.51,3
1,com,2,tempoViagem_P50,221.667,2.08167,219.311,224.022,221,3
1,com,2,tempoViagem_P90,431.333,9.45163,420.638,442.029,428,3
1,com,2,tempoViagem_P95,514.333,0.57735,513.68,514.987,514,3
1,com,2,co2Medio_g,148.657,0.603849,147.973,149.34,148.98,3
1,com,2,combustivelMedio_ml,74.33,0.30348,73.9866,74.6734,74.49,3
1,com,2,comprimentoMaxFila,45.3333,1.1547,44.0267,46.64,46,3
1,com,2,comprimentoMaxFila_m,226.667,5.7735,220.133,233.2,230,3
1,com,2,duracaoFila_s,1500,0,1500,1500,1500,3
1,com,2,throughput_vps,5.968,0.0670224,5.89216,6.04384,5.97,3
1,com,2,throughput_total,1372.67,11.1505,1360.05,1385.28,1377,3
1,com,2,velMediaGargalo_kmh,26.9167,0.715146,26.1074,27.7259,26.9,3
1,com,2,suppressionRatio,0.693533,0.0107221,0.6814,0.705667,0.6921,3
1,com,2,totalDenmsReceived,25813.3,378.194,25385.4,26241.3,25848,3
1,com,2,totalCamsReceived,44586.3,1094.14,43348.2,45824.5,45068,3
1,com,2,totalV2xMessages,70399.7,1458.73,68749,72050.4,70916,3
1,com,2,totalAlertsTriggered,873.333,8.0829,864.187,882.48,872,3
1,com,3,tempoMedioViagem_real,284.29,2.63467,281.308,287.271,283.976,3
1,com,3,tempoViagem_P50_real,271,4.58258,265.814,276.186,272,3
1,com,3,tempoViagem_P90_real,468.067,15.8222,450.162,485.971,465.8,3
1,com,3,tempoViagem_P95_real,530.333,19.3916,508.39,552.277,531.8,3
1,com,3,co2Medio_real_g,567046,3449.61,563142,570949,568656,3
1,com,3,combustivelMedio_real_ml,183829,1118.34,182564,185095,184351,3
1,com,3,tempoMedioViagem,233.793,2.51907,230.943,236.644,234.04,3
1,com,3,tempoViagem_P50,223.667,4.04145,219.093,228.24,223,3
1,com,3,tempoViagem_P90,433,10.8167,420.76,445.24,436,3
1,com,3,tempoViagem_P95,520.333,13.6137,504.928,535.739,525,3
1,com,3,co2Medio_g,147.733,0.710375,146.929,148.537,147.76,3
1,com,3,combustivelMedio_ml,73.8667,0.360185,73.4591,74.2743,73.88,3
1,com,3,comprimentoMaxFila,44.6667,1.52753,42.9381,46.3952,45,3
1,com,3,comprimentoMaxFila_m,223.333,7.63763,214.691,231.976,225,3
1,com,3,duracaoFila_s,1500,0,1500,1500,1500,3
1,com,3,throughput_vps,5.92767,0.0932166,5.82218,6.03315,5.881,3
1,com,3,throughput_total,1385.67,11.3725,1372.8,1398.54,1389,3
1,com,3,velMediaGargalo_kmh,27.0533,0.195533,26.8321,27.2746,27.07,3
1,com,3,suppressionRatio,0.715633,0.00775521,0.706857,0.724409,0.7167,3
1,com,3,totalDenmsReceived,25541.7,507.658,24967.2,26116.1,25589,3
1,com,3,totalCamsReceived,43840,579.282,43184.5,44495.5,43536,3
1,com,3,totalV2xMessages,69381.7,1029.21,68217,70546.3,69065,3
1,com,3,totalAlertsTriggered,858.333,28.1129,826.521,890.146,872,3
1,com,4,tempoMedioViagem_real,263.754,0,263.754,263.754,263.754,3
1,com,4,tempoViagem_P50_real,251,0,251,251,251,3
1,com,4,tempoViagem_P90_real,418,0,418,418,418,3
1,com,4,tempoViagem_P95_real,463.5,0,463.5,463.5,463.5,3
1,com,4,co2Medio_real_g,549949,0,549949,549949,549949,3
1,com,4,combustivelMedio_real_ml,178286,0,178286,178286,178286,3
1,com,4,tempoMedioViagem,217.82,0,217.82,217.82,217.82,3
1,com,4,tempoViagem_P50,210,0,210,210,210,3
1,com,4,tempoViagem_P90,399,0,399,399,399,3
1,com,4,tempoViagem_P95,473,0,473,473,473,3
1,com,4,co2Medio_g,148.84,0,148.84,148.84,148.84,3
1,com,4,combustivelMedio_ml,74.42,0,74.42,74.42,74.42,3
1,com,4,comprimentoMaxFila,46,0,46,46,46,3
1,com,4,comprimentoMaxFila_m,230,0,230,230,230,3
1,com,4,duracaoFila_s,1500,0,1500,1500,1500,3
1,com,4,throughput_vps,6.34,0,6.34,6.34,6.34,3
1,com,4,throughput_total,1381,0,1381,1381,1381,3
1,com,4,velMediaGargalo_kmh,30.31,0,30.31,30.31,30.31,3
1,com,4,suppressionRatio,0.726733,0.000763763,0.725869,0.727598,0.7269,3
1,com,4,totalDenmsReceived,23453.7,26.7644,23423.4,23484,23461,3
1,com,4,totalCamsReceived,42502,0,42502,42502,42502,3
1,com,4,totalV2xMessages,65955.7,26.7644,65925.4,65986,65963,3
1,com,4,totalAlertsTriggered,746,0,746,746,746,3
1,sem,1,tempoMedioViagem_real,263.754,0,263.754,263.754,263.754,3
1,sem,1,tempoViagem_P50_real,251,0,251,251,251,3
1,sem,1,tempoViagem_P90_real,418,0,418,418,418,3
1,sem,1,tempoViagem_P95_real,463.5,0,463.5,463.5,463.5,3
1,sem,1,co2Medio_real_g,549949,0,549949,549949,549949,3
1,sem,1,combustivelMedio_real_ml,178286,0,178286,178286,178286,3
1,sem,1,tempoMedioViagem,216.18,0,216.18,216.18,216.18,3
1,sem,1,tempoViagem_P50,207,0,207,207,207,3
1,sem,1,tempoViagem_P90,417,0,417,417,417,3
1,sem,1,tempoViagem_P95,482,0,482,482,482,3
1,sem,1,co2Medio_g,144.8,0,144.8,144.8,144.8,3
1,sem,1,combustivelMedio_ml,72.4,0,72.4,72.4,72.4,3
1,sem,1,throughput_vps,6.823,0,6.823,6.823,6.823,3
1,sem,1,throughput_total,1475,0,1475,1475,1475,3
1,sem,1,suppressionRatio,0,0,0,0,0,3
1,sem,1,totalDenmsReceived,0,0,0,0,0,3
1,sem,1,totalCamsReceived,0,0,0,0,0,3
1,sem,1,totalV2xMessages,0,0,0,0,0,3
1,sem,1,totalAlertsTriggered,0,0,0,0,0,3
1,sem,2,tempoMedioViagem_real,263.754,0,263.754,263.754,263.754,3
1,sem,2,tempoViagem_P50_real,251,0,251,251,251,3
1,sem,2,tempoViagem_P90_real,418,0,418,418,418,3
1,sem,2,tempoViagem_P95_real,463.5,0,463.5,463.5,463.5,3
1,sem,2,co2Medio_real_g,549949,0,549949,549949,549949,3
1,sem,2,combustivelMedio_real_ml,178286,0,178286,178286,178286,3
1,sem,2,tempoMedioViagem,216.18,0,216.18,216.18,216.18,3
1,sem,2,tempoViagem_P50,207,0,207,207,207,3
1,sem,2,tempoViagem_P90,417,0,417,417,417,3
1,sem,2,tempoViagem_P95,482,0,482,482,482,3
1,sem,2,co2Medio_g,144.8,0,144.8,144.8,144.8,3
1,sem,2,combustivelMedio_ml,72.4,0,72.4,72.4,72.4,3
1,sem,2,throughput_vps,6.823,0,6.823,6.823,6.823,3
1,sem,2,throughput_total,1475,0,1475,1475,1475,3
1,sem,2,suppressionRatio,0,0,0,0,0,3
1,sem,2,totalDenmsReceived,0,0,0,0,0,3
1,sem,2,totalCamsReceived,0,0,0,0,0,3
1,sem,2,totalV2xMessages,0,0,0,0,0,3
1,sem,2,totalAlertsTriggered,0,0,0,0,0,3
1,sem,3,tempoMedioViagem_real,263.754,0,263.754,263.754,263.754,3
1,sem,3,tempoViagem_P50_real,251,0,251,251,251,3
1,sem,3,tempoViagem_P90_real,418,0,418,418,418,3
1,sem,3,tempoViagem_P95_real,463.5,0,463.5,463.5,463.5,3
1,sem,3,co2Medio_real_g,549949,0,549949,549949,549949,3
1,sem,3,combustivelMedio_real_ml,178286,0,178286,178286,178286,3
1,sem,3,tempoMedioViagem,216.18,0,216.18,216.18,216.18,3
1,sem,3,tempoViagem_P50,207,0,207,207,207,3
1,sem,3,tempoViagem_P90,417,0,417,417,417,3
1,sem,3,tempoViagem_P95,482,0,482,482,482,3
1,sem,3,co2Medio_g,144.8,0,144.8,144.8,144.8,3
1,sem,3,combustivelMedio_ml,72.4,0,72.4,72.4,72.4,3
1,sem,3,throughput_vps,6.823,0,6.823,6.823,6.823,3
1,sem,3,throughput_total,1475,0,1475,1475,1475,3
1,sem,3,suppressionRatio,0,0,0,0,0,3
1,sem,3,totalDenmsReceived,0,0,0,0,0,3
1,sem,3,totalCamsReceived,0,0,0,0,0,3
1,sem,3,totalV2xMessages,0,0,0,0,0,3
1,sem,3,totalAlertsTriggered,0,0,0,0,0,3
1,sem,4,tempoMedioViagem_real,263.754,0,263.754,263.754,263.754,3
1,sem,4,tempoViagem_P50_real,251,0,251,251,251,3
1,sem,4,tempoViagem_P90_real,418,0,418,418,418,3
1,sem,4,tempoViagem_P95_real,463.5,0,463.5,463.5,463.5,3
1,sem,4,co2Medio_real_g,549949,0,549949,549949,549949,3
1,sem,4,combustivelMedio_real_ml,178286,0,178286,178286,178286,3
1,sem,4,tempoMedioViagem,216.18,0,216.18,216.18,216.18,3
1,sem,4,tempoViagem_P50,207,0,207,207,207,3
1,sem,4,tempoViagem_P90,417,0,417,417,417,3
1,sem,4,tempoViagem_P95,482,0,482,482,482,3
1,sem,4,co2Medio_g,144.8,0,144.8,144.8,144.8,3
1,sem,4,combustivelMedio_ml,72.4,0,72.4,72.4,72.4,3
1,sem,4,throughput_vps,6.823,0,6.823,6.823,6.823,3
1,sem,4,throughput_total,1475,0,1475,1475,1475,3
1,sem,4,suppressionRatio,0,0,0,0,0,3
1,sem,4,totalDenmsReceived,0,0,0,0,0,3
1,sem,4,totalCamsReceived,0,0,0,0,0,3
1,sem,4,totalV2xMessages,0,0,0,0,0,3
1,sem,4,totalAlertsTriggered,0,0,0,0,0,3
2,com,1,tempoMedioViagem_real,272.504,2.90389,269.217,275.79,272.75,3
2,com,1,tempoViagem_P50_real,260.667,2.08167,258.311,263.022,260,3
2,com,1,tempoViagem_P90_real,426.9,11.658,413.708,440.092,427.4,3
2,com,1,tempoViagem_P95_real,494.467,30.5621,459.882,529.051,500.9,3
2,com,1,co2Medio_real_g,556445,5713.21,549980,562910,556290,3
2,com,1,combustivelMedio_real_ml,180392,1852.17,178296,182488,180342,3
2,com,1,tempoMedioViagem,225.493,2.63906,222.507,228.48,224.57,3
2,com,1,tempoViagem_P50,220,1.73205,218.04,221.96,219,3
2,com,1,tempoViagem_P90,404.667,8.96289,394.524,414.809,400,3
2,com,1,tempoViagem_P95,502.333,25.658,473.299,531.368,509,3
2,com,1,co2Medio_g,148.773,0.484183,148.225,149.321,148.54,3
2,com,1,combustivelMedio_ml,74.3867,0.237557,74.1178,74.6555,74.27,3
2,com,1,comprimentoMaxFila,44.6667,2.51661,41.8189,47.5145,45,3
2,com,1,comprimentoMaxFila_m,223.333,12.5831,209.094,237.572,225,3
2,com,1,duracaoFila_s,1500,0,1500,1500,1500,3
2,com,1,throughput_vps,6.05833,0.0772161,5.97096,6.14571,6.092,3
2,com,1,throughput_total,1366,2,1363.74,1368.26,1366,3
2,com,1,velMediaGargalo_kmh,27.5667,0.352326,27.168,27.9654,27.76,3
2,com,1,suppressionRatio,0.714167,0.0144244,0.697844,0.730489,0.7083,3
2,com,1,totalDenmsReceived,25231.3,370.083,24812.5,25650.1,25264,3
2,com,1,totalCamsReceived,42997.3,524.029,42404.3,43590.3,43085,3
2,com,1,totalV2xMessages,68228.7,725.821,67407.3,69050,67931,3
2,com,1,totalAlertsTriggered,877,30.6105,842.361,911.639,874,3
2,com,2,tempoMedioViagem_real,279.1,5.52242,272.851,285.349,279.971,3
2,com,2,tempoViagem_P50_real,264,7.54983,255.457,272.543,263,3
2,com,2,tempoViagem_P90_real,468.133,4.06735,463.531,472.736,467.7,3
2,com,2,tempoViagem_P95_real,528.3,6.10061,521.397,535.203,528.4,3
2,com,2,co2Medio_real_g,563534,7993.86,554488,572580,566801,3
2,com,2,combustivelMedio_real_ml,182691,2591.55,179758,185623,183750,3
2,com,2,tempoMedioViagem,232.61,4.03524,228.044,237.176,231.33,3
2,com,2,tempoViagem_P50,223.333,8.3865,213.843,232.824,219,3
2,com,2,tempoViagem_P90,428,1,426.868,429.132,428,3
2,com,2,tempoViagem_P95,523.333,11.5036,510.316,536.351,523,3
2,com,2,co2Medio_g,149.327,0.940443,148.262,150.391,149.36,3
2,com,2,combustivelMedio_ml,74.6633,0.465224,74.1369,75.1898,74.68,3
2,com,2,comprimentoMaxFila,44.3333,3.78594,40.0491,48.6175,46,3
2,com,2,comprimentoMaxFila_m,221.667,18.9297,200.246,243.088,230,3
2,com,2,duracaoFila_s,1500,0,1500,1500,1500,3
2,com,2,throughput_vps,5.81,0.0759013,5.72411,5.89589,5.801,3
2,com,2,throughput_total,1351.33,9.50438,1340.58,1362.09,1351,3
2,com,2,velMediaGargalo_kmh,27.3633,0.11547,27.2327,27.494,27.43,3
2,com,2,suppressionRatio,0.717067,0.0226213,0.691468,0.742665,0.7257,3
2,com,2,totalDenmsReceived,24412.7,585.937,23749.6,25075.7,24678,3
2,com,2,totalCamsReceived,42168.3,975.636,41064.3,43272.4,42626,3
2,com,2,totalV2xMessages,66581,1552.25,64824.5,68337.5,67445,3
2,com,2,totalAlertsTriggered,843.667,15.8219,825.762,861.571,840,3
2,com,3,tempoMedioViagem_real,276.484,9.13159,266.15,286.817,276.196,3
2,com,3,tempoViagem_P50_real,269.667,7.23418,261.48,277.853,266,3
2,com,3,tempoViagem_P90_real,437.233,42.5982,389.029,485.438,447,3
2,com,3,tempoViagem_P95_real,498.6,33.6018,460.576,536.624,499,3
2,com,3,co2Medio_real_g,554684,10569.7,542723,566645,555927,3
2,com,3,combustivelMedio_real_ml,179822,3426.57,175944,183699,180225,3
2,com,3,tempoMedioViagem,233.903,6.03162,227.078,240.729,234.42,3
2,com,3,tempoViagem_P50,221,3.60555,216.92,225.08,222,3
2,com,3,tempoViagem_P90,418.333,7.63763,409.691,426.976,420,3
2,com,3,tempoViagem_P95,523.667,39.5517,478.91,568.424,526,3
2,com,3,co2Medio_g,149.163,1.4121,147.565,150.761,149.66,3
2,com,3,combustivelMedio_ml,74.58,0.708872,73.7778,75.3822,74.83,3
2,com,3,comprimentoMaxFila,43.6667,2.51661,40.8189,46.5145,44,3
2,com,3,comprimentoMaxFila_m,218.333,12.5831,204.094,232.572,220,3
2,com,3,duracaoFila_s,1500,0,1500,1500,1500,3
2,com,3,throughput_vps,5.762,0.178502,5.56001,5.96399,5.763,3
2,com,3,throughput_total,1347,7.81025,1338.16,1355.84,1351,3
2,com,3,velMediaGargalo_kmh,26.7467,0.393107,26.3018,27.1915,26.54,3
2,com,3,suppressionRatio,0.7006,0.0116863,0.687376,0.713824,0.6979,3
2,com,3,totalDenmsReceived,25196.7,1013.54,24049.7,26343.6,25572,3
2,com,3,totalCamsReceived,43353.3,1211.19,41982.7,44723.9,43688,3
2,com,3,totalV2xMessages,68550,2222.74,66034.7,71065.3,69260,3
2,com,3,totalAlertsTriggered,878,30.5123,843.472,912.528,879,3
2,com,4,tempoMedioViagem_real,266.588,0,266.588,266.588,266.588,3
2,com,4,tempoViagem_P50_real,251,0,251,251,251,3
2,com,4,tempoViagem_P90_real,436,0,436,436,436,3
2,com,4,tempoViagem_P95_real,501.5,0,501.5,501.5,501.5,3
2,com,4,co2Medio_real_g,553941,0,553941,553941,553941,3
2,com,4,combustivelMedio_real_ml,179581,0,179581,179581,179581,3
2,com,4,tempoMedioViagem,219.57,0,219.57,219.57,219.57,3
2,com,4,tempoViagem_P50,214,0,214,214,214,3
2,com,4,tempoViagem_P90,400,0,400,400,400,3
2,com,4,tempoViagem_P95,478,0,478,478,478,3
2,com,4,co2Medio_g,150.7,0,150.7,150.7,150.7,3
2,com,4,combustivelMedio_ml,75.35,0,75.35,75.35,75.35,3
2,com,4,comprimentoMaxFila,46,0,46,46,46,3
2,com,4,comprimentoMaxFila_m,230,0,230,230,230,3
2,com,4,duracaoFila_s,1500,0,1500,1500,1500,3
2,com,4,throughput_vps,6.153,0,6.153,6.153,6.153,3
2,com,4,throughput_total,1351,0,1351,1351,1351,3
2,com,4,velMediaGargalo_kmh,29.81,0,29.81,29.81,29.81,3
2,com,4,suppressionRatio,0.732,0.0007,0.731208,0.732792,0.7317,3
2,com,4,totalDenmsReceived,24124.7,23.029,24098.6,24150.7,24126,3
2,com,4,totalCamsReceived,41785,0,41785,41785,41785,3
2,com,4,totalV2xMessages,65909.7,23.029,65883.6,65935.7,65911,3
2,com,4,totalAlertsTriggered,775,0,775,775,775,3
2,sem,1,tempoMedioViagem_real,266.588,0,266.588,266.588,266.588,3
2,sem,1,tempoViagem_P50_real,251,0,251,251,251,3
2,sem,1,tempoViagem_P90_real,436,0,436,436,436,3
2,sem,1,tempoViagem_P95_real,501.5,0,501.5,501.5,501.5,3
2,sem,1,co2Medio_real_g,553941,0,553941,553941,553941,3
2,sem,1,combustivelMedio_real_ml,179581,0,179581,179581,179581,3
2,sem,1,tempoMedioViagem,215.06,0,215.06,215.06,215.06,3
2,sem,1,tempoViagem_P50,208,0,208,208,208,3
2,sem,1,tempoViagem_P90,405,0,405,405,405,3
2,sem,1,tempoViagem_P95,481,0,481,481,481,3
2,sem,1,co2Medio_g,145.47,0,145.47,145.47,145.47,3
2,sem,1,combustivelMedio_ml,72.73,0,72.73,72.73,72.73,3
2,sem,1,throughput_vps,6.733,0,6.733,6.733,6.733,3
2,sem,1,throughput_total,1448,0,1448,1448,1448,3
2,sem,1,suppressionRatio,0,0,0,0,0,3
2,sem,1,totalDenmsReceived,0,0,0,0,0,3
2,sem,1,totalCamsReceived,0,0,0,0,0,3
2,sem,1,totalV2xMessages,0,0,0,0,0,3
2,sem,1,totalAlertsTriggered,0,0,0,0,0,3
2,sem,2,tempoMedioViagem_real,266.588,0,266.588,266.588,266.588,3
2,sem,2,tempoViagem_P50_real,251,0,251,251,251,3
2,sem,2,tempoViagem_P90_real,436,0,436,436,436,3
2,sem,2,tempoViagem_P95_real,501.5,0,501.5,501.5,501.5,3
2,sem,2,co2Medio_real_g,553941,0,553941,553941,553941,3
2,sem,2,combustivelMedio_real_ml,179581,0,179581,179581,179581,3
2,sem,2,tempoMedioViagem,215.06,0,215.06,215.06,215.06,3
2,sem,2,tempoViagem_P50,208,0,208,208,208,3
2,sem,2,tempoViagem_P90,405,0,405,405,405,3
2,sem,2,tempoViagem_P95,481,0,481,481,481,3
2,sem,2,co2Medio_g,145.47,0,145.47,145.47,145.47,3
2,sem,2,combustivelMedio_ml,72.73,0,72.73,72.73,72.73,3
2,sem,2,throughput_vps,6.733,0,6.733,6.733,6.733,3
2,sem,2,throughput_total,1448,0,1448,1448,1448,3
2,sem,2,suppressionRatio,0,0,0,0,0,3
2,sem,2,totalDenmsReceived,0,0,0,0,0,3
2,sem,2,totalCamsReceived,0,0,0,0,0,3
2,sem,2,totalV2xMessages,0,0,0,0,0,3
2,sem,2,totalAlertsTriggered,0,0,0,0,0,3
2,sem,3,tempoMedioViagem_real,266.588,0,266.588,266.588,266.588,3
2,sem,3,tempoViagem_P50_real,251,0,251,251,251,3
2,sem,3,tempoViagem_P90_real,436,0,436,436,436,3
2,sem,3,tempoViagem_P95_real,501.5,0,501.5,501.5,501.5,3
2,sem,3,co2Medio_real_g,553941,0,553941,553941,553941,3
2,sem,3,combustivelMedio_real_ml,179581,0,179581,179581,179581,3
2,sem,3,tempoMedioViagem,215.06,0,215.06,215.06,215.06,3
2,sem,3,tempoViagem_P50,208,0,208,208,208,3
2,sem,3,tempoViagem_P90,405,0,405,405,405,3
2,sem,3,tempoViagem_P95,481,0,481,481,481,3
2,sem,3,co2Medio_g,145.47,0,145.47,145.47,145.47,3
2,sem,3,combustivelMedio_ml,72.73,0,72.73,72.73,72.73,3
2,sem,3,throughput_vps,6.733,0,6.733,6.733,6.733,3
2,sem,3,throughput_total,1448,0,1448,1448,1448,3
2,sem,3,suppressionRatio,0,0,0,0,0,3
2,sem,3,totalDenmsReceived,0,0,0,0,0,3
2,sem,3,totalCamsReceived,0,0,0,0,0,3
2,sem,3,totalV2xMessages,0,0,0,0,0,3
2,sem,3,totalAlertsTriggered,0,0,0,0,0,3
2,sem,4,tempoMedioViagem_real,266.588,0,266.588,266.588,266.588,3
2,sem,4,tempoViagem_P50_real,251,0,251,251,251,3
2,sem,4,tempoViagem_P90_real,436,0,436,436,436,3
2,sem,4,tempoViagem_P95_real,501.5,0,501.5,501.5,501.5,3
2,sem,4,co2Medio_real_g,553941,0,553941,553941,553941,3
2,sem,4,combustivelMedio_real_ml,179581,0,179581,179581,179581,3
2,sem,4,tempoMedioViagem,215.06,0,215.06,215.06,215.06,3
2,sem,4,tempoViagem_P50,208,0,208,208,208,3
2,sem,4,tempoViagem_P90,405,0,405,405,405,3
2,sem,4,tempoViagem_P95,481,0,481,481,481,3
2,sem,4,co2Medio_g,145.47,0,145.47,145.47,145.47,3
2,sem,4,combustivelMedio_ml,72.73,0,72.73,72.73,72.73,3
2,sem,4,throughput_vps,6.733,0,6.733,6.733,6.733,3
2,sem,4,throughput_total,1448,0,1448,1448,1448,3
2,sem,4,suppressionRatio,0,0,0,0,0,3
2,sem,4,totalDenmsReceived,0,0,0,0,0,3
2,sem,4,totalCamsReceived,0,0,0,0,0,3
2,sem,4,totalV2xMessages,0,0,0,0,0,3
2,sem,4,totalAlertsTriggered,0,0,0,0,0,3
